City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Dzaoudzi,YT,2020-02-23 05:22:34,-12.79,45.27,78.8,94,100,24.16
216,Olinda,BR,2020-02-23 05:22:34,-8.01,-34.86,82.4,78,20,3.36
217,State College,US,2020-02-23 05:19:19,40.79,-77.86,36.0,63,1,5.82
218,Pafos,CY,2020-02-23 05:22:35,34.77,32.42,50.0,87,75,3.36
219,Havre-Saint-Pierre,CA,2020-02-23 05:22:35,50.23,-63.6,26.6,92,1,12.75
220,Asmara,ER,2020-02-23 05:22:35,15.33,38.93,62.73,84,79,5.61
221,Smila,UA,2020-02-23 05:22:35,49.22,31.89,36.95,72,100,17.09
222,Ariquemes,BR,2020-02-23 05:22:35,-9.91,-63.04,66.61,97,100,3.33
223,Lundazi,ZM,2020-02-23 05:19:31,-12.29,33.18,74.07,79,100,3.0
224,Porto Novo,BJ,2020-02-23 05:22:36,6.5,2.6,82.4,88,20,3.36
225,The Valley,AI,2020-02-23 05:22:36,18.22,-63.06,77.0,78,20,4.7
226,Yambio,SS,2020-02-23 05:22:36,4.57,28.4,81.41,42,87,4.09
227,Rio Gallegos,AR,2020-02-23 05:22:37,-51.62,-69.22,55.4,47,17,29.97
228,Rio Branco,BR,2020-02-23 05:22:37,-9.97,-67.81,68.0,100,20,1.12
229,Ranibennur,IN,2020-02-23 05:22:37,14.62,75.62,87.21,24,100,11.25
230,Pottstown,US,2020-02-23 05:22:37,40.25,-75.65,35.6,43,1,5.77
231,Kharp,RU,2020-02-23 05:22:37,66.8,65.81,17.29,95,93,2.66
232,Itacoatiara,BR,2020-02-23 05:22:38,-3.14,-58.44,75.02,95,100,2.57
233,Gazanjyk,TM,2020-02-23 05:22:38,39.24,55.52,50.36,67,88,4.56
234,Kaliua,TZ,2020-02-23 05:22:38,-5.06,31.79,71.08,91,100,3.76
235,Tunceli,TR,2020-02-23 05:22:38,39.11,39.55,35.6,100,90,4.7
236,Fairhope,US,2020-02-23 05:22:39,30.52,-87.9,45.0,100,1,2.77
237,Winneba,GH,2020-02-23 05:22:39,5.35,-0.62,78.57,93,88,5.32
238,Leona Vicario,MX,2020-02-23 05:22:39,20.97,-87.19,71.01,72,75,9.17
239,Oranjemund,NA,2020-02-23 05:22:39,-28.55,16.43,63.91,82,7,3.65
240,Killybegs,IE,2020-02-23 05:22:40,54.63,-8.45,40.66,87,100,22.75
241,Dalvik,IS,2020-02-23 05:22:40,65.97,-18.53,23.09,69,100,5.73
242,Kabinda,CD,2020-02-23 05:22:40,-6.13,24.48,74.43,88,100,2.1
243,San Juan,AR,2020-02-23 05:22:40,-31.54,-68.54,67.77,37,0,9.35
244,Marrakesh,MA,2020-02-23 05:22:40,31.63,-8.01,51.8,50,20,2.24
245,Corning,US,2020-02-23 05:22:41,42.14,-77.05,33.8,85,1,6.08
246,Castro,BR,2020-02-23 05:22:41,-24.79,-50.01,55.99,88,88,7.56
247,Normandin,CA,2020-02-23 05:22:41,48.83,-72.53,33.8,64,20,16.11
248,Uspenka,UA,2020-02-23 05:22:41,48.39,39.16,33.08,98,100,5.7
249,Hwange,ZW,2020-02-23 05:22:41,-18.37,26.5,75.51,81,70,1.81
250,Bandarbeyla,SO,2020-02-23 05:22:42,9.49,50.81,78.28,70,76,16.46
251,Banamba,ML,2020-02-23 05:22:42,13.55,-7.45,72.68,13,1,9.37
252,Coihaique,CL,2020-02-23 05:22:42,-45.58,-72.07,62.6,36,31,3.36
253,Curico,CL,2020-02-23 05:22:42,-34.98,-71.23,62.6,67,0,3.36
254,Inta,RU,2020-02-23 05:22:42,66.03,60.17,31.44,84,97,22.19
255,Hopkinsville,US,2020-02-23 05:22:43,36.87,-87.49,39.2,38,1,4.7
256,Trelew,AR,2020-02-23 05:22:43,-43.25,-65.31,72.95,26,0,21.03
257,Lima,PE,2020-02-23 05:18:51,-12.04,-77.03,75.2,83,75,10.29
258,Taoudenni,ML,2020-02-23 05:22:43,22.68,-3.98,70.12,14,65,12.55
259,Warrington,GB,2020-02-23 05:18:19,53.39,-2.58,46.99,93,90,4.7
260,Berberati,CF,2020-02-23 05:22:44,4.26,15.79,72.77,34,57,2.19
261,Jeremie,HT,2020-02-23 05:22:44,18.65,-74.12,65.86,91,0,1.45
262,Parry Sound,CA,2020-02-23 05:22:44,45.35,-80.03,34.0,93,99,3.0
263,Amapa,BR,2020-02-23 05:22:44,1.0,-52.0,71.94,99,100,1.52
264,Destin,US,2020-02-23 05:22:45,30.39,-86.5,46.4,65,1,6.06
265,Pangody,RU,2020-02-23 05:22:45,65.85,74.49,24.85,92,98,18.61
266,Malartic,CA,2020-02-23 05:22:45,48.13,-78.13,28.99,86,20,14.99
267,Aranos,NA,2020-02-23 05:22:45,-24.13,19.12,67.84,86,100,13.49
268,Aquin,HT,2020-02-23 05:22:46,18.28,-73.4,75.04,76,4,6.33
